mon_estacao_dados_data,mon_estacao_dados_hora,mon_estacao_dados_precipitacao,mon_estacao_dados_temperatura,mon_estacao_dados_pressao_atm_media,mon_estacao_dados_temperatura_media,mon_estacao_dados_umidade_media,mon_estacao_dados_radiacao_solar_global,mon_estacao_dados_direcao_media_1h,mon_estacao_dados_direcao_rajada_1h,mon_estacao_dados_velocidade_vento_media_1h
2015-04-17,00:00:00,0.00,28.00,1012.10,27.30,90.00,-2.83,1.80,4.30,123.00
2015-04-17,01:00:00,0.00,28.00,1012.20,27.20,84.00,-3.54,1.70,4.50,120.00
2015-04-17,02:00:00,0.00,27.00,1012.30,26.70,83.00,-3.54,1.40,4.40,124.00
2015-04-17,03:00:00,0.00,27.00,1012.30,26.20,84.00,-3.54,1.30,3.60,119.00
2015-04-17,04:00:00,0.00,26.00,1011.70,25.90,87.00,-3.54,1.20,3.90,126.00
2015-04-17,05:00:00,0.00,26.00,1011.20,25.30,100.00,-3.54,0.50,2.80,157.00
2015-04-17,06:00:00,0.00,25.00,1011.00,23.90,-1.00,-3.54,0.40,2.50,228.00
2015-04-17,07:00:00,0.00,24.00,1010.90,23.00,-1.00,-3.54,0.60,1.20,286.00
2015-04-17,08:00:00,0.00,23.00,1011.20,22.20,-1.00,-3.54,0.60,1.40,282.00
2015-04-17,09:00:00,0.00,23.00,1011.90,22.40,-1.00,122.08,0.50,1.50,294.00
2015-04-17,10:00:00,0.00,24.00,1012.70,25.50,-1.00,853.99,0.50,1.20,290.00
2015-04-17,11:00:00,0.00,27.00,1013.20,29.40,-1.00,2381.52,2.10,4.80,128.00
2015-04-17,12:00:00,0.00,30.00,1013.80,30.90,75.00,4176.47,2.10,5.80,108.00
2015-04-17,13:00:00,0.00,32.00,1013.80,30.60,60.00,2760.13,2.30,5.70,133.00
2015-04-17,14:00:00,0.00,33.00,1013.80,31.50,61.00,954.32,2.40,5.70,115.00
2015-04-17,15:00:00,0.00,34.00,1013.10,32.00,54.00,1273.57,2.00,7.60,117.00
2015-04-17,16:00:00,0.00,34.00,1012.40,31.40,54.00,872.55,2.40,5.90,116.00
2015-04-17,17:00:00,0.00,35.00,1011.60,31.80,53.00,3357.50,2.40,6.20,118.00
2015-04-17,18:00:00,0.00,35.00,1011.00,30.70,56.00,3675.33,2.40,6.20,105.00
2015-04-17,19:00:00,0.00,34.00,1010.70,30.40,59.00,2356.17,2.10,5.90,124.00
2015-04-17,20:00:00,0.00,32.00,1011.00,29.30,69.00,524.75,1.20,5.60,125.00
2015-04-17,21:00:00,0.00,30.00,1011.30,27.30,77.00,8.11,1.80,4.70,117.00
2015-04-17,22:00:00,0.00,29.00,1011.70,26.70,85.00,-3.54,1.30,4.00,119.00
2015-04-17,23:00:00,0.00,27.00,1012.40,26.00,88.00,-3.54,1.10,3.20,123.00
2015-04-18,00:00:00,0.00,27.00,1013.00,25.50,100.00,-3.54,0.50,2.80,155.00
2015-04-18,01:00:00,0.00,26.00,1013.10,24.30,-1.00,-3.54,0.30,1.50,248.00
2015-04-18,02:00:00,0.00,25.00,1013.00,23.60,-1.00,-3.54,0.20,1.00,277.00
2015-04-18,03:00:00,0.00,24.00,1012.80,22.90,-1.00,-3.54,0.50,1.30,271.00
2015-04-18,04:00:00,0.00,24.00,1012.40,22.70,-1.00,-3.54,0.60,1.40,291.00
2015-04-18,05:00:00,0.00,24.00,1011.80,22.30,-1.00,-3.49,0.50,1.60,280.00
2015-04-18,06:00:00,0.00,23.00,1011.40,22.20,-1.00,-3.54,0.30,1.30,262.00
2015-04-18,07:00:00,0.00,23.00,1011.20,21.60,-1.00,-3.54,0.50,1.40,270.00
2015-04-18,08:00:00,0.00,22.00,1011.50,21.60,-1.00,-3.46,0.20,1.10,307.00
2015-04-18,09:00:00,0.00,22.00,1012.10,22.20,-1.00,113.10,0.50,1.20,314.00
2015-04-18,10:00:00,0.00,23.00,1012.60,24.80,-1.00,949.84,0.80,1.90,302.00
2015-04-18,11:00:00,0.00,27.00,1013.00,28.20,-1.00,2818.86,0.80,2.70,191.00
2015-04-18,12:00:00,0.00,29.00,1013.30,29.70,100.00,2979.60,1.90,4.70,138.00
2015-04-18,13:00:00,0.00,32.00,1013.40,31.10,72.00,1551.04,1.80,5.10,123.00
2015-04-18,14:00:00,0.00,33.00,1013.00,31.50,57.00,1511.64,2.50,6.30,130.00
2015-04-18,15:00:00,0.00,34.00,1012.60,31.50,55.00,1180.87,2.20,7.70,105.00
2015-04-18,16:00:00,0.00,35.00,1012.10,31.90,53.00,318.54,2.70,6.20,121.00
